Ten-days,day number,ShiMen Reservoir Inflow,YuanShan Lateral Flow,SanXia River Inflow
1,1,2248453.368600155,158334.8342561341,230150.5105598146
2,11,40985.65802056119,50492.28391338266,73393.98797864927
3,21,683.3450920803091,38625.56551411697,56144.90118677842
4,32,9.124367496138323,73660.48885957521,107070.5584072065
5,42,0.16632242014584225,157877.44273531757,229485.660702004
6,52,0.0037033521564154106,55365.94344936726,80478.18543760553
7,60,1144312.5953681264,531127.5554263341,772030.2271325444
8,70,2017844.4853862235,294069.2915597702,427449.8275152744
9,80,167475.13221259444,121248.38271549424,176242.81679785633
10,91,99072.03386793405,36112.59483231269,52492.126431581455
11,101,4064.672790572729,11516.148039618427,16739.508797622064
12,111,74.09239225788875,3672.449080057261,5338.155907074851
13,121,1.3505841363735782,5863.6880955350525,8523.271681124816
14,131,0.024618958220096493,373.4675480463035,542.8606235904708
15,141,1653412.25434579,168416.42026357615,244804.7853299009
16,152,2996756.5338574154,580639.621434431,843999.4013459774
17,162,4282471.082711595,1391754.4169646413,2023010.2310912032
18,172,3563003.8251272086,163693.66983965813,237939.94458643574
19,182,3373252.3984658336,50576.64521457524,73516.6128996414
20,192,1977474.3802374739,129384.25905590289,188068.86949430537
21,202,856327.5904107402,582572.693382381,846809.2536305976
22,213,11799303.600807387,1115119.478751575,1620902.4285502515
23,223,3523605.8222568417,716005.3596167866,1040762.7598409089
24,233,2661436.375865733,652559.9545484503,948540.52436283
25,244,8357206.1740289675,224469.03352375224,326281.0923008135
26,254,27228985.724540897,1221619.2867722083,1775707.183332261
27,264,1789981.7162714098,220490.26192528242,320497.6756629599
28,274,32628.463418759697,234979.7824025665,341559.18465610576
29,284,4268220.572495466,473440.76272704714,688178.5285807159
30,294,218587.7087071284,111799.86166358463,162508.74523774473
31,305,2918.6930695746855,60712.26814412659,88249.43403175205
32,315,2851319.425104816,2487300.1836125534,3615460.930397077
33,325,2935705.1562069296,921031.4560105174,1338782.213265605
34,335,468553.06146643154,375038.0011225614,545143.3845445531
35,345,378885.6915589609,368881.6075466951,536194.6454288086
36,355,78813.01674542218,268028.03508487873,389597.0801936081
